Q G G G G G G G G G G G G G G G G G G G G G G G W
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
F v v v v v v v v v v v v v v v v v v v v v v v R
E B B B B B B B B B B B B B B B B B B B B B B B S
